#SAMPLE,R1 RAW READS,R2 RAW READS,TRIM INPUT READS,TRIM SURVIVING READS,TRIM SURVIVING READS %,INPUT READS,MAPPED READS (MQ10),MAPPED %,CHIMERIC %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %,ON-TARGET,ON-TARGET 100BP PAD,ON-TARGET 500BP PAD,MEAN COVERAGE,MEDIAN COVERAGE,%_bases_above_10,%_bases_above_50,%_bases_above_100,%_bases_above_500
SRR1587225,126182187,126182187,126182187,119091670,94.30%,238183340,208508345,87.50%,0.08%,208508345,140257014,32.70%,66.20%,81.70%,92.10%,51.02,17,52.5,38.6,20.4,0.2
SRR1587226,142849070,142849070,142849070,127135593,88.90%,254271186,219659493,86.30%,1.70%,219659493,79894890,63.60%,61.50%,79.00%,90.10%,27.35,10,49.9,26,3.2,0
SRR1587228,85154263,85154263,85154263,81052659,95.10%,162105318,139390220,85.90%,0.28%,139390220,128086545,8.10%,60.70%,75.30%,86.00%,42.4,17,53,31,11.8,0.3
SRR1587230,106723745,106723745,106723745,98442397,92.20%,196884794,170470550,86.50%,0.23%,170470550,145678978,14.50%,56.50%,69.90%,80.00%,45.11,18,53.3,32.7,13,0.4
SRR1587232,113289961,113289961,113289961,107821182,95.10%,215642364,188176672,87.20%,0.87%,188176672,121078698,35.60%,62.00%,78.90%,89.50%,41.84,15,51.6,36.6,14.6,0
SRR1587234,118191535,118191535,118191535,108156528,91.50%,216313056,185087915,85.50%,0.20%,185087915,156312205,15.50%,55.60%,68.80%,78.70%,47.57,18,53.4,33.7,14.1,0.5
SRR1587235,107945634,107945634,107945634,102596714,95.00%,205193428,176055054,85.70%,0.37%,176055054,114336150,35.00%,67.90%,84.70%,92.60%,43.28,11,50.2,34.6,15.4,0.1
SRR1587236,87848859,87848859,87848859,82523998,93.90%,165047996,142151621,86.10%,1.11%,142151621,72669966,48.80%,64.80%,81.80%,90.30%,26.3,8,48.4,23.4,3.6,0
SRR1587238,81968474,81968474,81968474,76136944,92.80%,152273888,131669044,86.40%,0.20%,131669044,116740384,11.30%,60.00%,74.00%,84.60%,38.4,15,52.4,27.8,9.7,0.2
SRR1587240,105438453,105438453,105438453,97656230,92.60%,195312460,167021119,85.50%,0.27%,167021119,145721953,12.70%,58.80%,72.60%,83.10%,46.98,18,53.5,33.2,13.8,0.5
SRR1587242,93916227,93916227,93916227,86045290,91.60%,172090580,147760094,85.80%,0.17%,147760094,127650509,13.60%,54.30%,67.10%,77.00%,37.89,15,52.2,27.2,9.3,0.2
SRR1587247,80636297,80636297,80636297,77429675,96.00%,154859350,132314140,85.40%,0.30%,132314140,119438507,9.73%,61.50%,76.40%,86.80%,40.52,16,52.6,30.1,10.9,0.2
SRR1587249,71028080,71028080,71028080,68211268,96.00%,136422536,117990751,86.40%,0.45%,117990751,107319728,9.04%,56.10%,69.90%,79.60%,33.25,13,51.5,24.4,7.3,0.1
SRR1587251,80928734,80928734,80928734,77440273,95.60%,154880546,132688609,85.60%,0.31%,132688609,121913548,8.12%,61.70%,76.70%,87.10%,41.12,16,52.6,31,11.2,0.2
SRR1587253,96439158,96439158,96439158,91221207,94.50%,182442414,159505721,87.40%,1.02%,159505721,112139514,29.60%,68.20%,85.00%,92.40%,42.68,10,49.8,36.5,16.9,0
SRR1587254,127358327,127358327,127358327,115663329,90.80%,231326658,198596210,85.80%,2.35%,198596210,129427647,34.80%,61.70%,78.40%,88.50%,44.5,15,51.7,37.9,16.9,0
SRR1587256,109527190,109527190,109527190,103347962,94.30%,206695924,177577921,85.90%,0.85%,177577921,122920469,30.70%,64.60%,81.10%,90.70%,44.25,14,51.4,35.1,15.3,0.1
SRR1605997,76301940,76301940,76301940,74043391,97.00%,148086782,144578705,97.60%,0.21%,144578705,69571447,51.80%,59.10%,76.50%,83.80%,22.81,9,48.9,19.6,0.7,0
SRR1605999,98487006,98487006,98487006,94801164,96.20%,189602328,184258096,97.10%,2.04%,184258096,143810897,21.90%,60.80%,78.70%,86.00%,48.24,14,51.6,37.2,17.9,0
SRR1606001,50902603,50902603,50902603,49403510,97.00%,98807020,96728323,97.80%,0.32%,96728323,77078315,20.30%,63.40%,82.80%,93.10%,27.21,10,49.6,23,4.8,0
SRR1606003,114110885,114110885,114110885,108901032,95.40%,217802064,212732139,97.60%,0.56%,212732139,166703975,21.60%,66.60%,85.20%,91.40%,61.21,15,51.5,41.3,26.5,0.1
SRR1606005,120920779,120920779,120920779,115859919,95.80%,231719838,225498006,97.30%,0.67%,225498006,175325241,22.20%,59.80%,76.60%,82.80%,57.74,15,51.6,40.4,24.6,0
SRR1606007,77413684,77413684,77413684,73915323,95.40%,147830646,144367486,97.60%,0.59%,144367486,116155375,19.50%,65.40%,83.80%,90.00%,41.86,10,50,34.2,15.1,0
SRR1606009,103842835,103842835,103842835,100519673,96.70%,201039346,195849788,97.40%,0.92%,195849788,162867529,16.80%,64.20%,82.10%,87.70%,57.77,13,50.9,38.6,22.7,0.3
SRR1606011,101628547,101628547,101628547,97241418,95.60%,194482836,189842877,97.60%,0.78%,189842877,138740872,26.90%,65.60%,84.10%,90.80%,50.21,14,51.2,38.7,21,0
SRR1606013,50030634,50030634,50030634,48488618,96.90%,96977236,94990408,97.90%,0.20%,94990408,83174954,12.40%,62.70%,81.90%,93.40%,29,11,50.2,24.4,5.9,0
SRR1606015,98827400,98827400,98827400,94608758,95.70%,189217516,184508797,97.50%,0.61%,184508797,153058431,17.00%,62.30%,79.90%,86.50%,52.56,13,51.1,39.1,21.7,0
SRR1606017,115723838,115723838,115723838,112297934,97.00%,224595868,218715620,97.30%,0.27%,218715620,185775422,15.00%,62.30%,79.70%,85.80%,63.92,15,51.8,40.4,25.5,0.5
SRR1606019,112090811,112090811,112090811,106969862,95.40%,213939724,208942623,97.60%,0.79%,208942623,165296134,20.80%,66.10%,84.80%,91.40%,60.24,16,51.7,41.4,26.3,0.1
SRR1606021,78159262,78159262,78159262,75609725,96.70%,151219450,148124681,97.90%,0.18%,148124681,111052052,25.00%,62.50%,81.80%,93.10%,38.54,15,52,34.3,12.1,0
SRR1606023,61194654,61194654,61194654,59337215,96.90%,118674430,116239717,97.90%,0.15%,116239717,89499171,23.00%,62.40%,81.70%,92.80%,31.11,12,50.8,28,6.9,0
SRR1606025,63244152,63244152,63244152,61238952,96.80%,122477904,119894212,97.80%,0.19%,119894212,100893988,15.80%,62.90%,82.20%,93.30%,35.32,13,51.2,30.3,9.8,0
SRR1606027,123650710,123650710,123650710,119592405,96.70%,239184810,232736991,97.30%,2.82%,232736991,199751607,14.10%,62.70%,80.30%,86.30%,69.1,16,52,41.3,27.5,0.8
SRR1606029,142254245,142254245,142254245,138459716,97.30%,276919432,269988807,97.40%,0.66%,269988807,134616230,50.10%,58.00%,74.80%,82.00%,43.3,15,52,39,17.2,0
SRR1606031,134529249,134529249,134529249,130327427,96.80%,260654854,255245194,97.90%,0.37%,255245194,191135788,25.10%,63.00%,82.50%,93.00%,66.92,24,54.1,43.8,30,0.1
SRR1606033,107100910,107100910,107100910,102560048,95.70%,205120096,199242995,97.10%,0.68%,199242995,146140410,26.60%,54.50%,70.10%,77.00%,43.92,13,51.2,36.7,16.7,0
SRR1606035,67259411,67259411,67259411,65157081,96.80%,130314162,127009671,97.40%,0.46%,127009671,109150081,14.00%,62.40%,80.70%,87.90%,37.69,11,50.1,30.1,11.3,0
SRR1606037,42003301,42003301,42003301,40683113,96.80%,81366226,79289742,97.40%,0.69%,79289742,62826282,20.70%,61.90%,80.00%,87.10%,21.49,7,46.8,15.1,2.8,0
SRR1606039,91894199,91894199,91894199,88683647,96.50%,177367294,172474786,97.20%,0.46%,172474786,143012491,17.00%,62.30%,80.40%,87.50%,49.17,14,51.3,36.6,17.8,0.1
